id	title	url	cover	rate	director	composer	actor	category	district	language	showtime	lenth	concluding
1291990	爱在日落黄昏时	http://movie.douban.com/subject/1291990/	http://img3.douban.com/view/movie_poster_cover/lpst/public/p1910924055.jpg	8.7	理查德·林克莱特	理查德·林克莱特/朱莉·德尔佩/伊桑·霍克/金·克里桑	伊桑·霍克/朱莉·德尔佩/弗农·多布切夫	剧情/爱情	United States of America_美国	英语/法语	2009	80	TOP
4202302	借东西的小人阿莉埃蒂	http://movie.douban.com/subject/4202302/	http://img4.douban.com/view/movie_poster_cover/lpst/public/p617533616.jpg	8.7	米林宏昌	宫崎骏/玛丽·诺顿/丹羽圭子	志田未来/神木隆之介/三浦友和/树木希林/大竹忍/竹下景子/藤原龙也	动画/奇幻/冒险	Japan_日本	日语	2004	94	TOP
6534248	无敌破坏王	http://movie.douban.com/subject/6534248/	http://img4.douban.com/view/movie_poster_cover/lpst/public/p1735642656.jpg	8.7	瑞奇·摩尔	珍妮弗·李/菲尔·约翰斯顿/瑞奇·摩尔/吉姆·里尔顿/约翰·C·赖利/Sam J. Levine/Jared Stern	简·林奇/约翰·C·赖利/萨拉·西尔弗曼/杰克·麦克布瑞尔/斯戴芬妮·斯考特/贾米·埃曼/艾伦·图代克	喜剧/动画/冒险	United States of America_美国	英语	2005	108	TOP
1293359	菊次郎的夏天	http://movie.douban.com/subject/1293359/	http://img3.douban.com/view/movie_poster_cover/lpst/public/p751835224.jpg	8.7	北野武	北野武	北野武/关口雄介/岸本加世子/Gurêto Giday?/井手博士/磨赤儿/大家由祐子/細川典江/今村鼠/田中要次	剧情/喜剧	Japan_日本	日语	1953	121	TOP
1293318	萤火虫之墓	http://movie.douban.com/subject/1293318/	http://img4.douban.com/view/movie_poster_cover/lpst/public/p1157334208.jpg	8.7	高畑勋	高畑勋/野坂昭如	辰己努/白石绫乃/志乃原良子/山口朱美/端田宏三	剧情/动画/战争	Japan_日本	日语	2009	89	TOP
10808442	爱在午夜降临前	http://movie.douban.com/subject/10808442/	http://img4.douban.com/view/movie_poster_cover/lpst/public/p1969040547.jpg	8.7	理查德·林克莱特	理查德·林克莱特/伊桑·霍克/朱莉·德尔佩	伊桑·霍克/朱莉·德尔佩/肖姆斯·戴维-菲茨帕特里克/詹妮弗·普里尔/夏洛特·普里尔	剧情/爱情	United States of America_美国	英语/希腊语/法语	2013	109	TOP
1578507	谍影重重3	http://movie.douban.com/subject/1578507/	http://img4.douban.com/view/movie_poster_cover/lpst/public/p792223507.jpg	8.7	保罗·格林格拉斯	托尼·吉尔罗伊/斯科特·Z·本恩斯	马特·达蒙/朱丽娅·斯蒂尔斯/大卫·斯特雷泽恩/斯科特·格伦/帕迪·康斯戴恩/埃德加·拉米雷兹/阿尔伯特·芬尼/琼·艾伦/Tom Gallop/克里·约翰逊/丹尼尔·布鲁赫/乔伊·安沙/科林·斯廷顿/丹·弗雷登堡/Lucy Liemann	动作/悬疑/冒险	United States of America_美国/Germany_德国	英语/法语/阿拉伯语/俄语/西班牙语	2011	115	TOP
1293172	末代皇帝	http://movie.douban.com/subject/1293172/	http://img3.douban.com/view/movie_poster_cover/lpst/public/p1960670202.jpg	8.7	贝纳尔多·贝托鲁奇	贝纳尔多·贝托鲁奇/Mark Peploe	尊龙/陈冲/彼得·奥图尔/邬君梅/英若诚/卢燕/黄自强/陈凯歌/坂本龙一/吴涛	剧情/传记/历史	Italy_意大利/China_中国大陆/United Kingdom_英国/France_法国	英语/汉语普通话/日语/俄语	2010	163	TOP
1865703	红辣椒	http://movie.douban.com/subject/1865703/	http://img3.douban.com/view/movie_poster_cover/lpst/public/p672363704.jpg	8.7	今敏	水上清资/今敏/筒井康隆	林原惠美/古谷彻/江守彻/山寺宏一/堀胜之祐/大塚明夫/岩田光央/田中秀幸	科幻/动画/悬疑/惊悚	Japan_日本	日语	2000	90	TOP
1937946	穿越时空的少女	http://movie.douban.com/subject/1937946/	http://img4.douban.com/view/movie_poster_cover/lpst/public/p2079334286.jpg	8.7	细田守	奥寺佐渡子/筒井康隆	仲里依纱/石田卓也/板仓光隆/原沙知绘/谷村美月/垣内彩未/关户优希	剧情/爱情/科幻/动画	Japan_日本	日语	2007	98	TOP
2297265	浪潮	http://movie.douban.com/subject/2297265/	http://img3.douban.com/view/movie_poster_cover/lpst/public/p1344888983.jpg	8.7	丹尼斯·甘塞尔	丹尼斯·甘塞尔/彼得·图万斯/Todd Strasser	约根·沃格尔/詹妮弗·乌尔里希/马克思·雷迈特/克里斯蒂安妮·保罗/弗雷德里克·劳	剧情	Germany_德国	德语	2006	107	TOP
1297574	英雄本色	http://movie.douban.com/subject/1297574/	http://img3.douban.com/view/movie_poster_cover/lpst/public/p2157672975.jpg	8.7	吴宇森	陈庆嘉/吴宇森/梁淑华	周润发/狄龙/张国荣/朱宝意/李子雄/田丰/吴宇森/曾江/成奎安/徐克	动作/犯罪	China_香港	粤语/汉语普通话/英语	1952	95	TOP
1294240	教父3	http://movie.douban.com/subject/1294240/	http://img3.douban.com/view/movie_poster_cover/lpst/public/p2169664351.jpg	8.7	弗朗西斯·福特·科波拉	马里奥·普佐/弗朗西斯·福特·科波拉	阿尔·帕西诺/黛安·基顿/塔莉娅·夏尔/安迪·加西亚/埃里·瓦拉赫/索菲亚·科波拉/布里吉特·芳达/乔·曼特纳	剧情/犯罪	United States of America_美国	英语/意大利语/德语/拉丁语	2003	169	TOP
1303037	喜宴	http://movie.douban.com/subject/1303037/	http://img4.douban.com/view/movie_poster_cover/lpst/public/p2173713676.jpg	8.7	李安	李安/詹姆斯·夏慕斯/冯光远	赵文瑄/归亚蕾/金素梅/郎雄/米切尔·利希藤斯坦	剧情/喜剧/爱情/同性/家庭	China_台湾/United States of America_美国	汉语普通话/英语	1991	106	TOP
1295409	纵横四海	http://movie.douban.com/subject/1295409/	http://img4.douban.com/view/movie_poster_cover/lpst/public/p933122297.jpg	8.7	吴宇森	吴宇森/高志森/秦小珍	周润发/张国荣/钟楚红/朱江/曾江/胡枫/唐宁/邓一君	剧情/喜剧/动作/犯罪	China_香港	粤语	1999	103	TOP
